Question,Answer,Category,Language
എപ്പോഴും നനഞ്ഞിരിക്കും പക്ഷെ ഒരിക്കലും കുളിക്കില്ല,നാവ്,Cultural,Malayalam
ഉറങ്ങാൻ പോകുമ്പോൾ അടയ്ക്കും ഉണരുമ്പോൾ തുറക്കും,കണ്ണുകൾ,Cultural,Malayalam
തലയുണ്ട് മുടിയില്ല വായുണ്ട് സംസാരിക്കില്ല,തേങ്ങ,Cultural,Malayalam
മുറ്റത്തെ പച്ചില കൊട്ടാരത്തിൽ പത്തായിരം കാവൽക്കാർ,പുളിയുറുമ്പ് കൂട്,Cultural,Malayalam
അമ്മിമ്മയ്ക്ക് ഒരു പല്ല് അപ്പൂപ്പന് മുപ്പത്തിരണ്ട് പല്ല്,വെളുത്തുള്ളി,Cultural,Malayalam
അമ്മ കിടക്കും മകൾ ആടും,അമ്മിയും കുട്ടിയും,Cultural,Malayalam
ആകാശത്ത് മുട്ടയിടും തറയിൽ വിരിയും,മഴത്തുള്ളി,Cultural,Malayalam
വെള്ളം കുടിച്ചാൽ മരിക്കും കല്ലടിച്ചാൽ മരിക്കില്ല,തീ,Cultural,Malayalam
പച്ചക്കോട്ടയ്ക്കുള്ളിൽ കറുത്ത വിത്തുകൾ,പപ്പായ,Cultural,Malayalam
ആയിരം തിരിയിട്ട വിളക്ക് അന്തിയായപ്പോൾ അണഞ്ഞു,സൂര്യൻ,Cultural,Malayalam
അമ്മ തറയിൽ മകൾ മേൽക്കൂരയിൽ,പുക,Cultural,Malayalam
അച്ഛൻ പഴുത്താൽ മകൻ പഴുക്കില്ല,കൈതച്ചക്ക,Cultural,Malayalam
ഇരുന്നാൽ ഒരു മുളം നടന്നാൽ ആയിരം മുളം,നിഴൽ,Cultural,Malayalam
ഉള്ളു പൊള്ളയായ രാജാവിന് പച്ചക്കോട്ട,മുള,Cultural,Malayalam
ഉടുപ്പിന്മേൽ ഉടുപ്പിട്ടു സുന്ദരി നിൽക്കുന്നു,സവാള,Cultural,Malayalam
എത്ര നടന്നാലും വീടെത്താത്തവൻ,ചക്രം,Cultural,Malayalam
ഒരമ്മയ്ക്ക് ആയിരം ഓമനകൾ,ചൂല്,Cultural,Malayalam
കാറ്റടിച്ചാൽ വീഴില്ല കല്ലടിച്ചാൽ വീഴും,തീക്കട്ട,Cultural,Malayalam
കുപ്പായം ഉരിഞ്ഞാൽ സുന്ദരി,വെളുത്തുള്ളി,Cultural,Malayalam
കൊട്ടാരക്കെട്ടിനുള്ളിൽ കുറെ മാലകൾ,വാഴക്കുല,Cultural,Malayalam
ചത്താലേ മിണ്ടൂ ചങ്കുച്ചാര്,ശംഖ്,Cultural,Malayalam
ചെമ്പിൽ ഭഗവതി തുള്ളി തുള്ളി,അരി തിളയ്ക്കുന്നത്,Cultural,Malayalam
തല്ലുകൊണ്ടവന് തല്ലുകൂലി തല്ലിയവന് പൊൻപണം,ചെണ്ട,Cultural,Malayalam
താഴോട്ട് നോക്കി ചിരിക്കും സുന്ദരി,കുടപ്പൻ,Cultural,Malayalam
നാല് പേർ കൂടി ഓയ് ചോര പുറത്തേക്ക്,മുറുക്കി തുപ്പുന്നത്,Cultural,Malayalam
പുറം പാറ അകം പഞ്ഞി,പരുത്തിക്കായ,Cultural,Malayalam
പൊന്നിൻ കിണ്ണം ഒഴുകിയൊഴുകി,ചന്ദ്രന്റെ പ്രതിഫലനം,Cultural,Malayalam
മണ്ണമ്പലത്തിൽ ആശാരി ചെക്കൻ വെളിച്ചപ്പാട്,തൈര് കടയുന്നത്,Cultural,Malayalam
മണ്ടിപ്പെണ്ണ് കയറിൽ തൂങ്ങി കുണ്ടിലിറങ്ങി,കിണറ്റിലെ പാള,Cultural,Malayalam
മലമുകളിൽ കുട വിരിച്ചു,കൂൺ,Cultural,Malayalam
മാനത്തെ മുറ്റത്ത് വെള്ളിപ്പണം വിതറി,നക്ഷത്രങ്ങൾ,Cultural,Malayalam
മുത്തപ്പന്റെ താടിയിൽ ഊഞ്ഞാലാട്ടം,നൂൽ നൂൽക്കുന്നത്,Cultural,Malayalam
വാല് കണ്ടത്തിൽ കഴുത്ത് വരമ്പത്ത് വായിൽ തീ,നിലവിളക്ക്,Cultural,Malayalam
വെളുത്ത പശുവിന് മുപ്പത്തിരണ്ട് പല്ല്,വെളുത്തുള്ളി,Cultural,Malayalam
വെള്ളപ്പാടത്ത് കറുത്ത ഉറുമ്പുകൾ,പുസ്തകത്തിലെ അക്ഷരങ്ങൾ,Cultural,Malayalam
സാക്ഷപ്പൊത്തിൽ മിന്നാമിനുങ്ങ്,കമ്മൽ,Cultural,Malayalam
പച്ചക്കടലിൽ ചുവന്ന പവിഴം,ചുവന്ന മുളക്,Cultural,Malayalam
അമ്മ കുളിച്ചു വരുമ്പോൾ മക്കൾ മൂന്ന്,അടുപ്പ്,Cultural,Malayalam
എണ്ണക്കറുപ്പിക്ക് പൊന്നുപോലെ മുടി,കുന്നിക്കുരു,Cultural,Malayalam
കാലില്ലാ കാളയ്ക്ക് വയറ്റിൽ കൊമ്പ്,കലപ്പ,Cultural,Malayalam
കുഴിയിൽ ഇരിക്കും കുഞ്ഞമ്മയ്ക്ക് മുടിയില്ല,അണ്ടിപ്പരിപ്പ്,Cultural,Malayalam
പച്ചക്കുട പിടിച്ചു നിൽക്കുന്നവൻ,തെങ്ങ്,Cultural,Malayalam
മണ്ണിൽ പൊന്ന് വിളയിക്കുന്നവൻ,കർഷകൻ,Cultural,Malayalam
വെള്ളത്തിൽ ഇട്ടാൽ നനയാത്ത വസ്ത്രം,നാവ്,Cultural,Malayalam
ആയിരം തച്ചന്മാർ പണിത മധുര കൊട്ടാരം,തേനീച്ചക്കൂട്,Cultural,Malayalam
ആറ് ആടുകൾക്കും അഞ്ച് കോഴികൾക്കും കൂടി ആകെ എത്ര കാലുകളുണ്ട്?,"34 (ആടുകൾക്ക് 24, കോഴികൾക്ക് 10)",Mathematical,Malayalam
നൂറിന്റെ പകുതിയുടെ പകുതി എത്ര?,25,Mathematical,Malayalam
ഒരാൾക്ക് 40 വയസ്സുള്ളപ്പോൾ മകന് 10 വയസ്സ്. അച്ഛന്റെ പ്രായം മകന്റെ ഇരട്ടിയാകുന്നത് എത്ര വർഷം കഴിയുമ്പോഴാണ്?,20 വർഷം (അന്ന് അച്ഛന് 60-ഉം മകന് 30-ഉം വയസ്സ്),Mathematical,Malayalam
10 മീറ്റർ നീളമുള്ള ഒരു മരത്തടി ഒരു മീറ്റർ വീതമുള്ള കഷ്ണങ്ങളായി മുറിക്കാൻ എത്ര തവണ വെട്ടണം?,9 തവണ,Mathematical,Malayalam
1 മുതൽ 100 വരെയുള്ള സംഖ്യകൾ എഴുതുമ്പോൾ എത്ര തവണ '9' എന്ന അക്കം വരും?,20 തവണ,Mathematical,Malayalam
പകുതിയാക്കിയാൽ പൂജ്യം കിട്ടുന്ന സംഖ്യ ഏതാണ്?,8 (നടുവിലൂടെ മുറിച്ചാൽ രണ്ട് പൂജ്യം പോലെ തോന്നും),Mathematical,Malayalam
ഏത് സംഖ്യയെ അതേ സംഖ്യ കൊണ്ട് തന്നെ ഗുണിച്ചാലും കൂട്ടിയാലും ഒരേ ഉത്തരം ലഭിക്കും?,"2 (2+2=4, 2x2=4)",Mathematical,Malayalam
മൂന്ന് അക്കങ്ങളുള്ള ഏറ്റവും ചെറിയ സംഖ്യയേത്?,100,Mathematical,Malayalam
19-നോട് എത്ര കൂട്ടിയാൽ 10 കിട്ടും?,-9,Mathematical,Malayalam
ഒരു ഡസൻ കൈതച്ചക്കയിൽ എത്ര എണ്ണമുണ്ടാകും?,12,Mathematical,Malayalam
രണ്ട് പൂജ്യം ചേർത്താൽ എട്ട് കിട്ടുന്ന സംഖ്യയേത്?,800 (അല്ലെങ്കിൽ 44 - ചിഹ്നപരമായ ചോദ്യം),Mathematical,Malayalam
അഞ്ചും അഞ്ചും ചേർന്നാൽ പത്ത്. അഞ്ചും അഞ്ചും ഗുണിച്ചാൽ ഇരുപത്തിയഞ്ച്. അഞ്ചും പൂജ്യവും ഗുണിച്ചാൽ എത്ര?,0,Mathematical,Malayalam
100-ന്റെ പകുതിയുടെ പകുതി എത്ര?,25,Mathematical,Malayalam
5 ആടുകൾക്കും 2 കോഴികൾക്കും കൂടി ആകെ എത്ര കാലുകളുണ്ട്?,24,Mathematical,Malayalam
8-നെ നടുവിലൂടെ മുറിച്ചാൽ കിട്ടുന്ന രണ്ട് സംഖ്യകൾ ഏവ?,0,Mathematical,Malayalam
10-ൽ നിന്ന് എത്ര തവണ 2 കുറയ്ക്കാം?,ഒന്ന്,Mathematical,Malayalam
രണ്ട് പൂജ്യം ചേർത്താൽ എട്ട് കിട്ടുന്ന സംഖ്യ ഏത്?,800,Mathematical,Malayalam
ഒരു മാസത്തിൽ എത്ര ആഴ്ചകളുണ്ട്?,4,Mathematical,Malayalam
1 മുതൽ 10 വരെയുള്ള സംഖ്യകളിൽ എത്ര ഇരട്ട സംഖ്യകളുണ്ട്?,5,Mathematical,Malayalam
6-നെ തലതിരിച്ച് എഴുതിയാൽ കിട്ടുന്ന സംഖ്യ ഏത്?,9,Mathematical,Malayalam
"അഞ്ചും അഞ്ചും കൂട്ടിയാൽ 10, അഞ്ചും അഞ്ചും ഗുണിച്ചാൽ എത്ര?",25,Mathematical,Malayalam
ഒരു ഡസൻ മുട്ടയിൽ എത്ര എണ്ണമുണ്ടാകും?,12,Mathematical,Malayalam
ഏത് സംഖ്യയെ പൂജ്യം കൊണ്ട് ഗുണിച്ചാലും ഉത്തരം എന്തായിരിക്കും?,0,Mathematical,Malayalam
മൂന്ന് അക്കങ്ങളുള്ള ഏറ്റവും ചെറിയ സംഖ്യ ഏത്?,100,Mathematical,Malayalam
99-നോട് എത്ര കൂട്ടിയാൽ 100 കിട്ടും?,1,Mathematical,Malayalam
ഒരു സമചതുരത്തിന് എത്ര വശങ്ങളുണ്ട്?,4,Mathematical,Malayalam
15-ന്റെ ഇരട്ടി എത്ര?,30,Mathematical,Malayalam
7-നും 9-നും ഇടയിലുള്ള സംഖ്യ ഏത്?,8,Mathematical,Malayalam
10 മീറ്റർ നീളമുള്ള മരം 1 മീറ്റർ വീതം മുറിക്കാൻ എത്ര തവണ വെട്ടണം?,9,Mathematical,Malayalam
അര കിലോയും 500 ഗ്രാമും ചേർന്നാൽ എത്ര കിലോ ആകും?,1 കിലോ,Mathematical,Malayalam
രണ്ട് അക്കമുള്ള ഏറ്റവും വലിയ സംഖ്യ ഏത്?,99,Mathematical,Malayalam
"പകുതിയുടെ പകുതി കാൽഭാഗം എങ്കിൽ, കാൽഭാഗത്തിന്റെ ഇരട്ടി എത്ര?",അരഭാഗം,Mathematical,Malayalam
രണ്ട് ഡസൻ ഓറഞ്ചിൽ എത്ര എണ്ണമുണ്ടാകും?,24,Mathematical,Malayalam
ഒരു നൂറ്റാണ്ടിൽ എത്ര വർഷങ്ങളുണ്ട്?,100,Mathematical,Malayalam
അഞ്ചും അഞ്ചും ഗുണിച്ചാൽ കിട്ടുന്ന തുകയുടെ പകുതി എത്ര?,12.5,Mathematical,Malayalam
ഒരു രൂപയിൽ എത്ര പൈസയുണ്ട്?,100,Mathematical,Malayalam
അഞ്ച് വിരലുകളുള്ള നാല് കൈകളിൽ ആകെ എത്ര വിരലുകളുണ്ട്?,20,Mathematical,Malayalam
60 മിനിറ്റ് എന്നാൽ എത്ര മണിക്കൂർ?,1,Mathematical,Malayalam
ഒരു ത്രികോണത്തിന് എത്ര കോണുകളുണ്ട്?,3,Mathematical,Malayalam
ഏറ്റവും ചെറിയ ഇരട്ട സംഖ്യ ഏത്?,2,Mathematical,Malayalam
10-നോട് 10 കൂട്ടിയിട്ട് 5 കുറച്ചാൽ എത്ര?,15,Mathematical,Malayalam
ഒരു കിലോമീറ്ററിൽ എത്ര മീറ്ററുകളുണ്ട്?,1000,Mathematical,Malayalam
ഒരു ചതുരത്തിന് എത്ര മൂലകളുണ്ട്?,4,Mathematical,Malayalam
25-ന്റെ നാല് മടങ്ങ് എത്ര?,100,Mathematical,Malayalam
പൂജ്യത്തിന് മൂല്യമുണ്ടോ?,ഇല്ല,Mathematical,Malayalam
ഒരു ആഴ്ചയിൽ എത്ര ദിവസങ്ങളുണ്ട്?,7,Mathematical,Malayalam
100-ൽ നിന്ന് 10 എത്ര തവണ കുറയ്ക്കാം?,ഒന്ന്,Mathematical,Malayalam
അഞ്ചിൽ എത്ര ഒന്നുകളുണ്ട്?,5,Mathematical,Malayalam
രണ്ട് അക്കമുള്ള ഏറ്റവും ചെറിയ സംഖ്യ?,10,Mathematical,Malayalam
8-ന്റെ പകുതിയുടെ ഇരട്ടി എത്ര?,8,Mathematical,Malayalam
ഒരു ലീപ് ഇയറിൽ ഫെബ്രുവരിയിൽ എത്ര ദിവസമുണ്ട്?,29,Mathematical,Malayalam
9-നോട് എത്ര കൂട്ടിയാൽ 18 കിട്ടും?,9,Mathematical,Malayalam
രണ്ട് ലിറ്റർ പാലിൽ എത്ര മില്ലി ലിറ്റർ ഉണ്ട്?,2000,Mathematical,Malayalam
പത്തിന്റെ പത്ത് മടങ്ങ് എത്ര?,100,Mathematical,Malayalam
6-ഉം 4-ഉം കൂട്ടിയാൽ എത്ര?,10,Mathematical,Malayalam
ഒറ്റ സംഖ്യയല്ലാത്ത ഒരേയൊരു അഭാജ്യ സംഖ്യ?,2,Mathematical,Malayalam
അഞ്ച് രൂപയുടെ പത്ത് നോട്ട് ചേർന്നാൽ എത്ര രൂപയാകും?,50,Mathematical,Malayalam
ഒരു ഡസന്റെ പകുതി എത്ര?,6,Mathematical,Malayalam
4-ന്റെ വർഗ്ഗം (Square) എത്ര?,16,Mathematical,Malayalam
ഒരു മീറ്ററിൽ എത്ര സെന്റിമീറ്ററുണ്ട്?,100,Mathematical,Malayalam
99 കഴിഞ്ഞാൽ വരുന്ന സംഖ്യ?,100,Mathematical,Malayalam
ഒരു വൃത്തത്തിന് എത്ര വശങ്ങളുണ്ട്?,0,Mathematical,Malayalam
അർദ്ധവൃത്തത്തിന്റെ ആകൃതി എന്ത്?,ഡി (D) രൂപം,Mathematical,Malayalam
12-നെ 3 കൊണ്ട് ഹരിച്ചാൽ എത്ര?,4,Mathematical,Malayalam
ഏറ്റവും വലിയ ഒറ്റ അക്ക സംഖ്യ?,9,Mathematical,Malayalam
രണ്ട് അഞ്ചുകൾ ചേർന്നാൽ എത്ര?,10,Mathematical,Malayalam
10-ന്റെ പകുതി എത്ര?,5,Mathematical,Malayalam
ഏറ്റവും ചെറിയ ഒറ്റ സംഖ്യ?,1,Mathematical,Malayalam
നാല് വശങ്ങളും തുല്യമായ രൂപം?,സമചതുരം,Mathematical,Malayalam
15-ൽ നിന്ന് 5 പോയാൽ?,10,Mathematical,Malayalam
3-ന്റെ മൂന്ന് മടങ്ങ്?,9,Mathematical,Malayalam
ഒരു ദിവസം എത്ര മണിക്കൂർ?,24,Mathematical,Malayalam
അഞ്ച് പൈസയുടെ 20 നാണയം ചേർന്നാൽ എത്ര?,1 രൂപ,Mathematical,Malayalam
പകുതിയുടെ പകുതി എത്ര?,കാൽ,Mathematical,Malayalam
7-ന്റെ ഇരട്ടി എത്ര?,14,Mathematical,Malayalam
ഒരു കൈയിൽ എത്ര വിരലുകളുണ്ട്?,5,Mathematical,Malayalam
0 മുതൽ 9 വരെയുള്ള അക്കങ്ങൾ എത്ര?,10,Mathematical,Malayalam
രണ്ട് പത്തുകൾ ചേർന്നാൽ?,20,Mathematical,Malayalam
100-ന്റെ പത്തിലൊന്ന് എത്ര?,10,Mathematical,Malayalam
ഒരു ലിറ്ററിൽ എത്ര മില്ലി ലിറ്ററുണ്ട്?,1000,Mathematical,Malayalam
4-നോട് എത്ര കൂട്ടിയാൽ 10 കിട്ടും?,6,Mathematical,Malayalam
ഒരു ചതുരശ്ര അടിയിൽ എത്ര വശങ്ങളുണ്ട്?,4,Mathematical,Malayalam
അഞ്ച് പേർക്ക് രണ്ട് വീതം മിഠായി നൽകാൻ എത്ര മിഠായി വേണം?,10,Mathematical,Malayalam
മൂന്ന് കിലോയിൽ എത്ര ഗ്രാം ഉണ്ട്?,3000,Mathematical,Malayalam
പകുതിയുടെ പകുതിയുടെ പകുതി എത്ര?,എട്ടിലൊന്ന്,Mathematical,Malayalam
ഒരു മണിക്കൂറിൽ എത്ര സെക്കൻഡുകൾ ഉണ്ട്?,3600,Mathematical,Malayalam
ഏഴ് വശങ്ങളുള്ള രൂപത്തിന്റെ പേരെന്ത്?,സപ്തഭുജം,Mathematical,Malayalam
100-ൽ പകുതിയുടെ കൂടെ 10 കൂട്ടിയാൽ എത്ര?,60,Mathematical,Malayalam
ഒരു വർഷത്തിൽ എത്ര മാസങ്ങളുണ്ട്?,12,Mathematical,Malayalam
രണ്ട് അക്കമുള്ള ഏറ്റവും ചെറിയ ഒറ്റസംഖ്യ?,11,Mathematical,Malayalam
അഞ്ച് രൂപയുടെ 20 നോട്ടുകൾ ചേർന്നാൽ എത്ര രൂപയാകും?,100,Mathematical,Malayalam
15-നെ 3 കൊണ്ട് ഗുണിച്ചാൽ എത്ര?,45,Mathematical,Malayalam
ഒരു കിലോ അരിക്ക് 40 രൂപയെങ്കിൽ 5 കിലോയ്ക്ക് എത്ര?,200,Mathematical,Malayalam
പത്തിന് താഴെയുള്ള അഭാജ്യ സംഖ്യകൾ എത്ര?,"4 (2, 3, 5, 7)",Mathematical,Malayalam
ഒരു ക്ലോക്കിൽ എത്ര അക്കങ്ങളുണ്ട്?,12,Mathematical,Malayalam
4-ന്റെ പകുതിയുടെ വർഗ്ഗം (Square) എത്ര?,4,Mathematical,Malayalam
രണ്ട് ഡസൻ മുട്ടയിൽ നിന്ന് 4 എണ്ണം ഉടഞ്ഞാൽ ബാക്കി എത്ര?,20,Mathematical,Malayalam
പൂജ്യം കൊണ്ട് ഏത് സംഖ്യയെ ഗുണിച്ചാലും ഉത്തരം?,0,Mathematical,Malayalam
ഒരു സ്ക്വയറിന് എത്ര വശങ്ങളുണ്ട്?,4,Mathematical,Malayalam
50-ന്റെ ഇരട്ടിയുടെ പകുതി എത്ര?,50,Mathematical,Malayalam
ഒരു ലാൻഡ്ലൈൻ ഫോണിൽ എത്ര അക്കങ്ങളുണ്ട് (Keys)?,12,Mathematical,Malayalam
അഞ്ച് അക്കമുള്ള ഏറ്റവും ചെറിയ സംഖ്യ?,10000,Mathematical,Malayalam
9-ൽ നിന്ന് എത്ര തവണ 3 കുറയ്ക്കാം?,ഒന്ന്,Mathematical,Malayalam
ഒരു മീറ്ററിന്റെ പകുതി എത്ര സെന്റീമീറ്റർ?,50,Mathematical,Malayalam
പത്തു രൂപയുടെ 5 നാണയം ചേർന്നാൽ എത്ര?,50,Mathematical,Malayalam
8-ന്റെ മൂന്ന് മടങ്ങ് എത്ര?,24,Mathematical,Malayalam
ഒരു ലിറ്റർ വെള്ളത്തിൽ എത്ര മില്ലി ലിറ്റർ ഉണ്ട്?,1000,Mathematical,Malayalam
ഏറ്റവും വലിയ രണ്ട് അക്ക ഇരട്ടസംഖ്യ?,98,Mathematical,Malayalam
പകുതി ആപ്പിളിന്റെ പകുതി എത്ര?,കാൽ ആപ്പിൾ,Mathematical,Malayalam
12-ന്റെ പകുതിയുടെ മൂന്ന് മടങ്ങ്?,18,Mathematical,Malayalam
ഒരു അഞ്ചും അഞ്ച് ഒന്നുകളും ചേർന്നാൽ എത്ര?,10,Mathematical,Malayalam
100 കഴിഞ്ഞാൽ വരുന്ന അടുത്ത ഇരട്ടസംഖ്യ?,102,Mathematical,Malayalam
മൂന്ന് അക്കമുള്ള ഏറ്റവും വലിയ സംഖ്യ?,999,Mathematical,Malayalam
ഒരു സെഞ്ച്വറിയിൽ എത്ര റൺസ് ഉണ്ട്?,100,Mathematical,Malayalam
അഞ്ചിൽ നിന്ന് അഞ്ച് കുറച്ചാൽ എത്ര?,0,Mathematical,Malayalam
ഒരു രൂപയിൽ എത്ര 50 പൈസകൾ ഉണ്ട്?,2,Mathematical,Malayalam
രണ്ട് കൈകളിലും കൂടി എത്ര വിരലുകളുണ്ട്?,10,Mathematical,Malayalam
പൂജ്യം കണ്ടുപിടിച്ച രാജ്യം ഏത്?,ഇന്ത്യ,Mathematical,Malayalam
ഒരു ദിവസത്തിന്റെ പകുതി എത്ര മണിക്കൂർ?,12,Mathematical,Malayalam
10-ന്റെ പത്തിരട്ടി എത്ര?,100,Mathematical,Malayalam
ആറ് കാലുകളുള്ള മൂന്ന് ഈച്ചകൾക്ക് ആകെ എത്ര കാലുകളുണ്ട്?,18,Mathematical,Malayalam
ഒരു കിലോ പഞ്ചസാരയിൽ എത്ര 500 ഗ്രാം ഉണ്ട്?,2,Mathematical,Malayalam
7-നോട് 3 കൂട്ടി 2 കുറച്ചാൽ എത്ര?,8,Mathematical,Malayalam
രണ്ട് കിലോമീറ്ററിൽ എത്ര മീറ്ററുണ്ട്?,2000,Mathematical,Malayalam
ഒരു ചതുരത്തിന് എത്ര വശങ്ങളുണ്ട്?,4,Mathematical,Malayalam
അഞ്ച് അക്കങ്ങളുള്ള ഏറ്റവും വലിയ സംഖ്യ?,99999,Mathematical,Malayalam
ഒരു ദശാബ്ദത്തിൽ എത്ര വർഷങ്ങളുണ്ട്?,10,Mathematical,Malayalam
9-ന്റെ വർഗ്ഗമൂലം (Square root) എത്ര?,3,Mathematical,Malayalam
ഒരു പൈസയുടെ 100 നാണയങ്ങൾ ചേർന്നാൽ എത്ര രൂപ?,1 രൂപ,Mathematical,Malayalam
ഏറ്റവും ചെറിയ മൂന്നക്ക സംഖ്യ?,100,Mathematical,Malayalam
4-ന്റെ ഇരട്ടിയുടെ പകുതി?,4,Mathematical,Malayalam
പകുതി ഭാഗവും അര ഭാഗവും ഒന്നാണോ?,അതെ,Mathematical,Malayalam
ആരും ഇഷ്ടപ്പെടാത്ത ഇഷ്ടം ഏതാണ്?,നഷ്ടം,Wordplay,Malayalam
ആരും തിന്നാത്ത അപ്പം ഏതാണ്?,മുത്തപ്പൻ,Wordplay,Malayalam
ആരും വയ്ക്കാത്ത കറി ഏതാണ്?,ഉപ്പുകറി,Wordplay,Malayalam
ആരും പോകാത്ത വഴി ഏതാണ്?,പടവഴി,Wordplay,Malayalam
ആരും കേറാത്ത മരം ഏതാണ്?,തൂക്കുമരം,Wordplay,Malayalam
ആരും ചെല്ലാത്ത കാട് ഏതാണ്?,താടിക്കോട്,Wordplay,Malayalam
ആരും കുടിക്കാത്ത കഞ്ഞി ഏതാണ്?,മുണ്ടുകഞ്ഞി,Wordplay,Malayalam
ആരും കാണാത്ത കാഴ്ച ഏതാണ്?,പഴങ്കാഴ്ച,Wordplay,Malayalam
ആരും കൊതിക്കാത്ത ഭാഗ്യം ഏതാണ്?,നിർഭാഗ്യം,Wordplay,Malayalam
ആരും വേണ്ടാത്ത മാനം ഏതാണ്?,അപമാനം,Wordplay,Malayalam
ആരും തിരുത്താത്ത അക്ഷരം ഏതാണ്?,തലയക്ഷരം,Wordplay,Malayalam
ആരും വിളിക്കാത്ത വിളി ഏതാണ്?,കൂക്കിവിളി,Wordplay,Malayalam
ആരും തൊടാത്ത തൊടി ഏതാണ്?,പുറന്തൊടി,Wordplay,Malayalam
ആരും കഴിക്കാത്ത പഴം ഏതാണ്?,തല്ലുപ്പഴം,Wordplay,Malayalam
കാലില്ലാത്ത കാലം ഏതാണ്?,വർഷക്കാലം,Wordplay,Malayalam
മരമില്ലാത്ത കാട് ഏതാണ്?,താടിക്കോട്,Wordplay,Malayalam
തലയില്ലാത്ത തല ഏതാണ്?,കപ്പലണ്ടിത്തല,Wordplay,Malayalam
വായയില്ലാത്ത വായ ഏതാണ്?,പുഴവായ,Wordplay,Malayalam
പല്ലില്ലാത്ത പല്ലി ഏതാണ്?,ചുവർപല്ലി,Wordplay,Malayalam
കണ്ണില്ലാത്ത കണ്ണൻ ഏതാണ്?,വണ്ണാൻ,Wordplay,Malayalam
ചിറകില്ലാത്ത പക്ഷി ഏതാണ്?,കപ്പൽപക്ഷി,Wordplay,Malayalam
കല്ലില്ലാത്ത കല്ല് ഏതാണ്?,നെല്ലിക്കല്ല്,Wordplay,Malayalam
വെള്ളമില്ലാത്ത പുഴ ഏതാണ്?,മണൽപുഴ,Wordplay,Malayalam
ചക്രമില്ലാത്ത വണ്ടി ഏതാണ്?,പല്ലക്കുവണ്ടി,Wordplay,Malayalam
മഴ പെയ്യാത്ത മേഘം ഏതാണ്?,പുകമേഘം,Wordplay,Malayalam
കടിക്കാത്ത പട്ടി ഏതാണ്?,തിരുമ്മുപട്ടി,Wordplay,Malayalam
